醫事機構代碼,機構服務項目代碼
0101090019,Y
0101090019,Z
0101090517,0
0101090517,1
0101090517,2
0101090517,4
0101090517,5
0101090517,7
0101090517,9
0101090517,A
0101090517,A0
0101090517,B
0101090517,C
0101090517,D
0101090517,E
0101090517,F
0101090517,G
0101090517,I
0101090517,K
0101090517,O
0101090517,P
0101090517,U
0101090517,X
0101090517,Y
0101090517,Z
0102020011,1
0102020011,2
0102020011,7
0102020011,9
0102020011,A
0102020011,A0
0102020011,B
0102020011,C
0102020011,D
0102020011,E
0102020011,F
0102020011,G
0102020011,I
0102020011,N
0102020011,O
0102020011,P
0102020011,Q
0102020011,U
0102020011,Y
0102020011,Z
0102080017,1
0102080017,2
0102080017,4
0102080017,7
0102080017,9
0102080017,A
0102080017,A0
0102080017,B
0102080017,C
0102080017,D
0102080017,E
0102080017,F
0102080017,G
0102080017,I
0102080017,O
0102080017,P
0102080017,Q
0102080017,Y
0102080017,Z
0102080026,1
0102080026,9
0102080026,A
0102080026,B
0102080026,E
0102080026,K
0102080026,U
0102080026,Y
0102080026,Z
0107340027,1
0107340027,2
0107340027,6
0107340027,7
0107340027,9
0107340027,A
0107340027,A0
0107340027,B
0107340027,C
0107340027,D
0107340027,E
0107340027,F
0107340027,G
0107340027,I
0107340027,O
0107340027,P
0107340027,Q
0107340027,Y
0107340027,Z
0111070010,1
0111070010,2
0111070010,4
0111070010,7
0111070010,9
0111070010,A
0111070010,A0
0111070010,B
0111070010,C
0111070010,D
0111070010,E
0111070010,F
0111070010,G
0111070010,I
0111070010,K
0111070010,N
0111070010,O
0111070010,P
0111070010,U
0111070010,W
0111070010,X
0111070010,Y
0111070010,Z
0117030010,1
0117030010,2
0117030010,4
0117030010,6
0117030010,7
0117030010,9
0117030010,A
0117030010,B
0117030010,C
0117030010,D
0117030010,E
0117030010,F
0117030010,G
0117030010,I
0117030010,K
0117030010,O
0117030010,P
0117030010,Q
0117030010,U
0117030010,W
0117030010,Y
0117030010,Z
0121050011,1
0121050011,2
0121050011,4
0121050011,5
0121050011,7
0121050011,9
0121050011,A
0121050011,A0
0121050011,B
0121050011,C
0121050011,D
0121050011,E
0121050011,F
0121050011,G
0121050011,I
0121050011,K
0121050011,O
0121050011,P
0121050011,Q
0121050011,U
0121050011,W
0121050011,Y
0121050011,Z
0122020517,0
0122020517,1
0122020517,2
0122020517,4
0122020517,7
0122020517,9
0122020517,A
0122020517,A0
0122020517,B
0122020517,C
0122020517,D
0122020517,E
0122020517,F
0122020517,G
0122020517,I
0122020517,O
0122020517,P
0122020517,Q
0122020517,U
0122020517,Y
0122020517,Z
0131020016,1
0131020016,2
0131020016,7
0131020016,9
0131020016,A
0131020016,A0
0131020016,B
0131020016,C
0131020016,D
0131020016,E
0131020016,F
0131020016,G
0131020016,I
0131020016,O
0131020016,P
0131020016,Q
0131020016,W
0131020016,X
0131020016,Y
0131020016,Z
0131060010,1
0131060010,2
0131060010,7
0131060010,9
0131060010,A
0131060010,B
0131060010,C
0131060010,D
0131060010,E
0131060010,F
0131060010,G
0131060010,K
0131060010,N
0131060010,O
0131060010,Q
0131060010,U
0131060010,W
0131060010,Y
0131060010,Z
0131060029,1
0131060029,2
0131060029,4
0131060029,7
0131060029,9
0131060029,A
0131060029,A0
0131060029,B
0131060029,C
0131060029,D
0131060029,E
0131060029,F
0131060029,G
0131060029,I
0131060029,K
0131060029,N
0131060029,O
0131060029,P
0131060029,U
0131060029,X
0131060029,Y
0131060029,Z
0131230012,9
0131230012,A
0131230012,B
0131230012,K
0131230012,U
0132010014,1
0132010014,2
0132010014,4
0132010014,5
0132010014,6
0132010014,7
0132010014,9
0132010014,A
0132010014,B
0132010014,C
0132010014,D
0132010014,E
0132010014,F
0132010014,G
0132010014,I
0132010014,O
0132010014,P
0132010014,Q
0132010014,W
0132010014,Y
0132010014,Z
0132010023,1
0132010023,9
0132010023,A
0132010023,B
0132010023,K
0132010023,P
0132010023,U
0132110519,1
0132110519,2
0132110519,7
0132110519,9
0132110519,A
0132110519,A0
0132110519,B
0132110519,C
0132110519,D
0132110519,E
0132110519,F
0132110519,G
0132110519,P
0132110519,W
0132110519,Y
0132110519,Z
0135010016,1
0135010016,2
0135010016,4
0135010016,7
0135010016,9
0135010016,A
0135010016,A0
0135010016,B
0135010016,C
0135010016,D
0135010016,E
0135010016,F
0135010016,G
0135010016,I
0135010016,K
0135010016,O
0135010016,P
0135010016,Q
0135010016,W
0135010016,Y
0135010016,Z
0136010010,1
0136010010,2
0136010010,4
0136010010,7
0136010010,9
0136010010,A
0136010010,A0
0136010010,B
0136010010,C
0136010010,D
0136010010,E
0136010010,F
0136010010,G
0136010010,I
0136010010,K
0136010010,O
0136010010,P
0136010010,Q
0136010010,U
0136010010,W
0136010010,Y
0136010010,Z
0137170515,1
0137170515,2
0137170515,4
0137170515,5
0137170515,7
0137170515,9
0137170515,A
0137170515,B
0137170515,C
0137170515,D
0137170515,E
0137170515,F
0137170515,G
0137170515,I
0137170515,K
0137170515,N
0137170515,O
0137170515,P
0137170515,Q
0137170515,U
0137170515,W
0137170515,Y
0137170515,Z
0138010027,1
0138010027,2
0138010027,4
0138010027,5
0138010027,7
0138010027,9
0138010027,A
0138010027,B
0138010027,C
0138010027,D
0138010027,E
0138010027,F
0138010027,G
0138010027,I
0138010027,K
0138010027,O
0138010027,P
0138010027,Q
0138010027,W
0138010027,Y
0138010027,Z
0138030010,9
0138030010,A
0138030010,B
0138030010,E
0138030010,K
0138030010,U
0140010028,1
0140010028,2
0140010028,4
0140010028,7
0140010028,9
0140010028,A
0140010028,A0
0140010028,B
0140010028,C
0140010028,E
0140010028,F
0140010028,G
0140010028,I
0140010028,K
0140010028,P
0140010028,Q
0140010028,U
0140010028,Y
0140010028,Z
0141010013,1
0141010013,2
0141010013,7
0141010013,9
0141010013,A
0141010013,A0
0141010013,B
0141010013,C
0141010013,D
0141010013,E
0141010013,F
0141010013,G
0141010013,I
0141010013,K
0141010013,O
0141010013,P
0141010013,Q
0141010013,U
0141010013,Y
0141010013,Z
0141060513,1
0141060513,2
0141060513,5
0141060513,7
0141060513,9
0141060513,A
0141060513,A0
0141060513,B
0141060513,C
0141060513,E
0141060513,F
0141060513,G
0141060513,K
0141060513,Y
0141060513,Z
0141270019,0
0141270019,A
0141270019,B
0141270019,E
0141270019,O
0141270019,Y
0141270019,Z
0141270028,1
0141270028,9
0141270028,A
0141270028,B
0141270028,E
0141270028,K
0141270028,U
0141270028,Y
0141270028,Z
0142030019,1
0142030019,2
0142030019,4
0142030019,7
0142030019,9
0142030019,A
0142030019,A0
0142030019,B
0142030019,C
0142030019,D
0142030019,E
0142030019,F
0142030019,G
0142030019,I
0142030019,K
0142030019,O
0142030019,P
0142030019,Q
0142030019,W
0142030019,Y
0142030019,Z
0143010011,1
0143010011,2
0143010011,4
0143010011,7
0143010011,9
0143010011,A
0143010011,A0
0143010011,B
0143010011,C
0143010011,D
0143010011,E
0143010011,F
0143010011,G
0143010011,I
0143010011,K
0143010011,N
0143010011,O
0143010011,P
0143010011,Q
0143010011,U
0143010011,Y
0143010011,Z
0143040019,1
0143040019,2
0143040019,7
0143040019,9
0143040019,A
0143040019,A0
0143040019,B
0143040019,C
0143040019,D
0143040019,E
0143040019,F
0143040019,G
0143040019,I
0143040019,O
0143040019,P
0143040019,Q
0143040019,Y
0143040019,Z
0144010015,1
0144010015,2
0144010015,4
0144010015,9
0144010015,A
0144010015,A0
0144010015,B
0144010015,C
0144010015,D
0144010015,E
0144010015,F
0144010015,G
0144010015,I
0144010015,K
0144010015,O
0144010015,P
0144010015,Q
0144010015,W
